Asset_Name,Reason_Comments,Total_Count_Reason_Comment,Reason_ActionTaken,Total_Count_ActionTaken,Location
dje01,breakdown maintenance,3,wtg stopped transformer oil leakage arresting work,1,bhatkheda
dje01,converter cooling water heat exchanger fan 1 overload switch open/tripped.,1,wtg stopped attending warning,1,bhatkheda
dje01,converter system fault active.,8,auto reset,7,bhatkheda
dje01,converter system fault active.,8,reset & restored,1,bhatkheda
dje01,converter system handshake timeout exception.,18,auto reset,11,bhatkheda
dje01,converter system handshake timeout exception.,18,checked & tighting connections asim board,1,bhatkheda
dje01,converter system handshake timeout exception.,18,reboot & restored wtg,1,bhatkheda
dje01,converter system handshake timeout exception.,18,wtg reset restored,4,bhatkheda
dje01,converter system handshake timeout exception.,18,wtg reset restored.,1,bhatkheda
dje01,convertor system communication handshake fault.,31,auto reset,10,bhatkheda
dje01,convertor system communication handshake fault.,31,reboot & restored wtg,1,bhatkheda
dje01,convertor system communication handshake fault.,31,reset restore wtg,1,bhatkheda
dje01,convertor system communication handshake fault.,31,wtg reset & restored wtg,4,bhatkheda
dje01,convertor system communication handshake fault.,31,wtg reset restored,6,bhatkheda
dje01,convertor system communication handshake fault.,31,wtg reset restored.,9,bhatkheda
dje01,convertor system fault active.,3,wtg reset restored,3,bhatkheda
dje01,customer request,5,feeder shutdown taken lws maintenance customer.,1,bhatkheda
dje01,customer request,5,wtg restoration work progress (dje46 transformer shifted location),1,bhatkheda
dje01,customer request,5,wtg restoration work progress (transformer shifting & loading dje46),1,bhatkheda
dje01,customer request,5,wtg stopped customer internal audit work done restored wtg,1,bhatkheda
dje01,customer request,5,wtg stopped customer visual blade inspection work,1,bhatkheda
dje01,customer request uss abc inspection,1,wtg stopped customer inspection work,1,bhatkheda
dje01,customer stoppage,3,wtg stopped customer audit work,2,bhatkheda
dje01,customer stoppage,3,wtg stopped customer uss inspection work,1,bhatkheda
dje01,dbr energy consumed.,1,auto reset,1,bhatkheda
dje01,detected grid state converter faulted ok.,12,220kv s/s shutdown taken phase pt fuse replacement work,1,bhatkheda
dje01,detected grid state converter faulted ok.,12,auto reset grid voltage ok.,1,bhatkheda
dje01,detected grid state converter faulted ok.,12,checked & found pm3000 faulty & material available,1,bhatkheda
dje01,detected grid state converter faulted ok.,12,found vcb tripped common fault & prv checked related circuit found ok vcb charged & restored wtg,1,bhatkheda
dje01,detected grid state converter faulted ok.,12,found vcb tripped common fault checked related circuit found ok,1,bhatkheda
dje01,detected grid state converter faulted ok.,12,found vcb tripped due oil leakage lt bushing stud oil leakage arrested lt stud & 40 ltr oil top-up done,1,bhatkheda
dje01,detected grid state converter faulted ok.,12,replaced 550 amp fuse also checked related circuit found ok,2,bhatkheda
dje01,detected grid state converter faulted ok.,12,replaced uss acb housing & clean jaw also clean acb cabinet,1,bhatkheda
dje01,detected grid state converter faulted ok.,12,wtg reset & restored wtg,1,bhatkheda
dje01,detected grid state converter faulted ok.,12,wtg restoration work progress,1,bhatkheda
dje01,detected grid state converter faulted ok.,12,wtg stopped 6:12,1,bhatkheda
dje01,deviation active demanded power high.,1,auto reset,1,bhatkheda
dje01,earth fault,1,feeder charged,1,bhatkheda
dje01,encoder rate alarms exceeded treshold.,3,attend,1,bhatkheda
dje01,encoder rate alarms exceeded treshold.,3,replaced 02 no. generator earthing brush,1,bhatkheda
dje01,encoder rate alarms exceeded treshold.,3,wtg reset restored,1,bhatkheda
dje01,external shutdown,2,mpptcl team take 220kv line shutdown main bus work daloda substation,1,bhatkheda
dje01,external shutdown,2,shutdown taken mpptcl 220kv substation,1,bhatkheda
dje01,fault synchronization line side filters.,1,wtg reset restored,1,bhatkheda
dje01,feeder 3 tripped earthfault,2,feeder restored,2,bhatkheda
dje01,feeder shutdown guarding removing work,1,wtg stopped customer guarding removing work near dje11,1,bhatkheda
dje01,feeder shutdown ofc cable stringing & tree cutting work.,1,feeder charged (ofc cable fixing work done),1,bhatkheda
dje01,feeder shutdownfor lws maintenance,2,feeder manitenance completed,2,bhatkheda
dje01,feeder tripped e/f,29,earth fault,2,bhatkheda
dje01,feeder tripped e/f,29,feeder charge,1,bhatkheda
dje01,feeder tripped e/f,29,feeder charged,23,bhatkheda
dje01,feeder tripped e/f,29,feeder restored,1,bhatkheda
dje01,feeder tripped e/f,29,line patrolling,1,bhatkheda
dje01,feeder tripped e/f,29,line patrolling observed bird fault removed,1,bhatkheda
dje01,feeder tripped o/c,6,feeder charged,6,bhatkheda
dje01,feeder03- tripped e/f,1,feeder charged,1,bhatkheda
dje01,fuse yaw motor brake open.,4,attend,1,bhatkheda
dje01,fuse yaw motor brake open.,4,converter healthcheck alarm.,1,bhatkheda
dje01,fuse yaw motor brake open.,4,found 16f5 mcb auxiliary feedback contract malfunctioning corrected also blade 1 capacitor cable connections tighting properly,1,bhatkheda
dje01,fuse yaw motor brake open.,4,replaced 06 amp plc relay nc cabinet,1,bhatkheda
dje01,gear box inspection,4,attend,1,bhatkheda
dje01,gear box inspection,4,replaced gearbox radiator,1,bhatkheda
dje01,gear box inspection,4,wtg stopped gear box inspection work,2,bhatkheda
dje01,gearbox oil offline filter clogged.,1,attended restored,1,bhatkheda
dje01,gearbox oil offline filter feedback match demand.,1,wtg reset restored.,1,bhatkheda
dje01,gearbox oil pump overload switch open/tripped.,4,attend,2,bhatkheda
dje01,gearbox oil pump overload switch open/tripped.,4,checked & found gearbox online pump motor faulty replaced,1,bhatkheda
dje01,gearbox oil pump overload switch open/tripped.,4,found gearbox oil pump mpcb tripped nc cabinet checked motor connection & winding hold mpcb,1,bhatkheda
dje01,generator cooling slipring fan overload switch 1 open/tripped.,2,reboot restart,1,bhatkheda
dje01,generator cooling slipring fan overload switch 1 open/tripped.,2,replaced generator slip ring fan,1,bhatkheda
dje01,generator cooling slipring fan overload switch 2 open/tripped.,5,reboot & restored wtg,1,bhatkheda
dje01,generator cooling slipring fan overload switch 2 open/tripped.,5,reboot restored wtg,1,bhatkheda
dje01,generator cooling slipring fan overload switch 2 open/tripped.,5,replaced generator slip ring fan,1,bhatkheda
dje01,generator cooling slipring fan overload switch 2 open/tripped.,5,replaced generator slipring fan,1,bhatkheda
dje01,generator cooling slipring fan overload switch 2 open/tripped.,5,wtg restoration work progress,1,bhatkheda
dje01,generator inspection,1,wtg stopped generator inspection work done restored wtg.,1,bhatkheda
dje01,generator side hardware detected over-current fault phase a.,9,attend,1,bhatkheda
dje01,generator side hardware detected over-current fault phase a.,9,replaced 04 nos. generator power carbon brush also cleaned slip ring & checked slip ring fan,3,bhatkheda
dje01,generator side hardware detected over-current fault phase a.,9,replaced 04 nos. generator power carbon brushes,1,bhatkheda
dje01,generator side hardware detected over-current fault phase a.,9,replaced 12 nos. generator power carbon brushes & 02 nos. earthing carbon brushes new one,1,bhatkheda
dje01,generator side hardware detected over-current fault phase a.,9,replaced slip ring drum,1,bhatkheda
dje01,generator side hardware detected over-current fault phase a.,9,restored wtg,2,bhatkheda
dje01,generator side hardware detected over-current fault phase b.,3,attend,1,bhatkheda
dje01,generator side hardware detected over-current fault phase b.,3,replaced 04 nos. usable generator power carbon brushes & cleaned generator slip ring,1,bhatkheda
dje01,generator side hardware detected over-current fault phase b.,3,wtg reset & restored wtg,1,bhatkheda
dje01,generator side hardware detected over-current fault phase c.,1,replaced generator power brushes set (12 nos.) spring new one also cleaned generator slip ring drum restored wtg,1,bhatkheda
dje01,generator speed measurement deviation warning convertor plc.,1,wtg reset restored,1,bhatkheda
dje01,grid loss,10,auto reset grid voltage ok.,2,bhatkheda
dje01,grid loss,10,due heavy jerk,1,bhatkheda
dje01,grid loss,10,replaced power transformer (2.3 mva),2,bhatkheda
dje01,grid loss,10,uss power transformer lv acb 16 no. cable replaced & top 70 ltr.,1,bhatkheda
dje01,grid loss,10,wtg auto rested grid normalization,2,bhatkheda
dje01,grid loss,10,wtg restoration work progress,1,bhatkheda
dje01,grid loss,10,wtg stopped due oil leakage transformer lv box & work progress,1,bhatkheda
dje01,grid loss grid loss,1,auto reset grid voltage ok.,1,bhatkheda
dje01,grid voltage ok.,14,attend,4,bhatkheda
dje01,grid voltage ok.,14,auto reset,1,bhatkheda
dje01,grid voltage ok.,14,checked dry transformer & found cable burn energy meter repaired cable,1,bhatkheda
dje01,grid voltage ok.,14,checked power cable transformer uss acb,1,bhatkheda
dje01,grid voltage ok.,14,due heavy jerk feeder,1,bhatkheda
dje01,grid voltage ok.,14,found vcb tripped current & earth fault due acb flash cleaned uss acb cabinet & fabricate new busbar fixed cabinet,1,bhatkheda
dje01,grid voltage ok.,14,internal isolator-b open feeder-3 heavy jerk observed,1,bhatkheda
dje01,grid voltage ok.,14,replaced cable dry transformer panel contactor engery meter,1,bhatkheda
dje01,grid voltage ok.,14,wtg auto rested grid normalization,1,bhatkheda
dje01,grid voltage ok.,14,wtg restoration work progress,2,bhatkheda
dje01,gsc igbt temperature error limit.,9,attended restored,1,bhatkheda
dje01,gsc igbt temperature error limit.,9,checked & found pm3000 failure & work progress,1,bhatkheda
dje01,gsc igbt temperature error limit.,9,checked & found pm3000 faulty & material available,1,bhatkheda
dje01,gsc igbt temperature error limit.,9,checked & found pm3000 faulty & material available.,4,bhatkheda
dje01,gsc igbt temperature error limit.,9,replaced pm3000,1,bhatkheda
dje01,gsc igbt temperature error limit.,9,wtg restoration work progress,1,bhatkheda
dje01,gsc zero-sequence current peak high,3,checked & found power carbon brushes stuck cleaned generator slip ring,2,bhatkheda
dje01,gsc zero-sequence current peak high,3,wtg restoration work progress,1,bhatkheda
dje01,hub healthcheck alarm.,1,wtg reset restored,1,bhatkheda
dje01,hub healthcheck timeout.,2,wtg reset restored,2,bhatkheda
dje01,hub healthcheck: blade 1 voltage measurement ubat - udc deviation high,6,auto reset,5,bhatkheda
dje01,hub healthcheck: blade 1 voltage measurement ubat - udc deviation high,6,reboot & restored wtg,1,bhatkheda
dje01,hydraulic brake pressure reduced range.,1,reset restore wtg,1,bhatkheda
dje01,internal shutdown,36,220/33kv substation yearly maintenance work,1,bhatkheda
dje01,internal shutdown,36,feeder shutdown taken customer 220kv line maintenance gss substation,1,bhatkheda
dje01,internal shutdown,36,feeder shutdown taken customer 220kv line work substation mainteance work,1,bhatkheda
dje01,internal shutdown,36,feeder shutdown taken customer 220kv line work substation maintenance work,2,bhatkheda
dje01,internal shutdown,36,feeder shutdown taken customer 33kv line ct replacement work gss,1,bhatkheda
dje01,internal shutdown,36,feeder shutdown taken customer relay testing work,1,bhatkheda
dje01,internal shutdown,36,feeder shutdown taken customer tree cutting work,2,bhatkheda
dje01,internal shutdown,36,feeder shutdown taken customer tvm meter replacing work,1,bhatkheda
dje01,internal shutdown,36,feeder shutdown taken customer vcb servicing & relay testing work gss,1,bhatkheda
dje01,internal shutdown,36,feeder shutdown taken jumper binding work,1,bhatkheda
dje01,internal shutdown,36,feeder shutdown taken lws maintenance customer,2,bhatkheda
dje01,internal shutdown,36,feeder shutdown taken lws maintenance customer.,4,bhatkheda
dje01,internal shutdown,36,internal feeder shutdown taken customer ofc work,1,bhatkheda
dje01,internal shutdown,36,internal feeder shutdown taken customer pole extension work near goshala,2,bhatkheda
dje01,internal shutdown,36,internal shutdown taken customer,1,bhatkheda
dje01,internal shutdown,36,internal shutdown taken customer 33kv bus maintenance work,1,bhatkheda
dje01,internal shutdown,36,internal shutdown taken customer conductor replacement work,1,bhatkheda
dje01,internal shutdown,36,internal shutdown taken customer dpdc line maintenance work,1,bhatkheda
dje01,internal shutdown,36,internal shutdown taken customer ht tape insulation work,1,bhatkheda
dje01,internal shutdown,36,internal shutdown taken customer jumper repalacement work,1,bhatkheda
dje01,internal shutdown,36,internal shutdown taken customer line maintenance work completed & feeder charged,1,bhatkheda
dje01,internal shutdown,36,internal shutdown taken customer ofc cable stringing work,1,bhatkheda
dje01,internal shutdown,36,internal shutdown taken customer ofc laying work,1,bhatkheda
dje01,internal shutdown,36,internal shutdown taken customer ofc work,1,bhatkheda
dje01,internal shutdown,36,shutdown taken customer feeder-2 suspension insulator fixing work,1,bhatkheda
dje01,internal shutdown,36,shutdown taken mpptcl 220kv line stringing work,1,bhatkheda
dje01,internal shutdown,36,wtg isolator open customer lws maintenance work,1,bhatkheda
dje01,internal shutdown,36,wtg stopped customer 220kv line maintenance gss substation,1,bhatkheda
dje01,internal shutdown,36,wtg stopped customer internal isolator jumper maintenance work,1,bhatkheda
dje01,internal shutdown-feeder 03,1,shutdown taken customer internal line maintenance work,1,bhatkheda
dje01,line side convertor zero sequence fault.,16,auto reset,14,bhatkheda
dje01,line side convertor zero sequence fault.,16,reboot & restored wtg,2,bhatkheda
dje01,lsc igbt temperature error limit.,6,checked & found pm3000 failure & work progress,3,bhatkheda
dje01,lsc igbt temperature error limit.,6,replaced pm3000,3,bhatkheda
dje01,manual stop,6,220kv s/s shutdown taken lws maintenance work,1,bhatkheda
dje01,manual stop,6,acb & vcb testing maintenance work,1,bhatkheda
dje01,manual stop,6,wtg stopped acb & vcb relay testing & servicing work,1,bhatkheda
dje01,manual stop,6,wtg stopped blade repairing work,2,bhatkheda
dje01,manual stop,6,wtg stopped erp data taken & critical points chekcing work,1,bhatkheda
dje01,modification,3,new plc software version 2.4.0 updated work done,1,bhatkheda
dje01,modification,3,wtg stopped ngcc software updated work done,2,bhatkheda
dje01,nacelle cabinet +3nca200 ups module alarm.,31,auto reset,8,bhatkheda
dje01,nacelle cabinet +3nca200 ups module alarm.,31,checked & tighting ups feedback connections properly,1,bhatkheda
dje01,nacelle cabinet +3nca200 ups module alarm.,31,nacelle cabinet +3nca200 ups module alarm.,2,bhatkheda
dje01,nacelle cabinet +3nca200 ups module alarm.,31,reboot & restored wtg,1,bhatkheda
dje01,nacelle cabinet +3nca200 ups module alarm.,31,wtg reset & restored wtg,1,bhatkheda
dje01,nacelle cabinet +3nca200 ups module alarm.,31,wtg reset restored,18,bhatkheda
dje01,nacelle inspection,1,wtg stopped anemometer replacement new one also activity winch door fixing work,1,bhatkheda
dje01,nacelle rotation overspeed.,1,wtg reset restored.,1,bhatkheda
dje01,natural calamity,1,auto reseted (high wind),1,bhatkheda
dje01,non plausible pitch state difference.,6,auto reset,3,bhatkheda
dje01,non plausible pitch state difference.,6,reboot restored wtg,1,bhatkheda
dje01,non plausible pitch state difference.,6,wtg reset & restored wtg,1,bhatkheda
dje01,non plausible pitch state difference.,6,wtg reset restored,1,bhatkheda
dje01,offset tower-vibration sensor drivetrain direction error limit,15,reboot & restored wtg,6,bhatkheda
dje01,offset tower-vibration sensor drivetrain direction error limit,15,replaced acceleration sensor usable one,3,bhatkheda
dje01,offset tower-vibration sensor drivetrain direction error limit,15,wtg reset restored,6,bhatkheda
dje01,pitch started capacitor state hysteresis charge,5,auto reset,3,bhatkheda
dje01,pitch started capacitor state hysteresis charge,5,wtg reset restored,2,bhatkheda
dje01,pitch started wrong capacitor state.,11,auto reset,4,bhatkheda
dje01,pitch started wrong capacitor state.,11,reboot & restored wtg,1,bhatkheda
dje01,pitch started wrong capacitor state.,11,wtg reset & restored wtg,1,bhatkheda
dje01,pitch started wrong capacitor state.,11,wtg reset restored,3,bhatkheda
dje01,pitch started wrong capacitor state.,11,wtg reset restored.,2,bhatkheda
dje01,plc offline,1,reboot restored wtg,1,bhatkheda
dje01,preventive maintenance,28,attend,5,bhatkheda
dje01,preventive maintenance,28,wtg stopped half yearly preventive maintenance also activity generator alignment work done,2,bhatkheda
dje01,preventive maintenance,28,wtg stopped half yearly preventive maintenance work done,3,bhatkheda
dje01,preventive maintenance,28,wtg stopped half yearly uss maintenance work done,4,bhatkheda
dje01,preventive maintenance,28,wtg stopped uss vcb,1,bhatkheda
dje01,preventive maintenance,28,wtg stopped uss visual preventive maintenance work done,1,bhatkheda
dje01,preventive maintenance,28,wtg stopped uss yearly preventive maintenance vcb,1,bhatkheda
dje01,preventive maintenance,28,wtg stopped uss yearly preventive maintenance work done restored wtg,1,bhatkheda
dje01,preventive maintenance,28,wtg stopped visual maintenance work done,3,bhatkheda
dje01,preventive maintenance,28,wtg stopped yearly preventive maintenance also activity winch testing & climb assist checking & inspection work done,1,bhatkheda
dje01,preventive maintenance,28,wtg stopped yearly preventive maintenance work done,2,bhatkheda
dje01,preventive maintenance,28,wtg stopped yearly uss maintenance also activity acb & vcb testing work done,1,bhatkheda
dje01,preventive maintenance,28,wtg stopped yearly uss maintenance work,2,bhatkheda
dje01,preventive maintenance,28,wtg stopped yearly wtg maintenance work,1,bhatkheda
dje01,scada disconnected,1,scada disconnected due dje14 uss hypm work,1,bhatkheda
dje01,section isolator open,4,feeder-3 internal isolator open customer line maintenance work work completed isolator closed & restored wtg,1,bhatkheda
dje01,section isolator open,4,wtg internal isolator feeder-3 section-b open customer cable removed work uup30,1,bhatkheda
dje01,section isolator open,4,wtg internal isolator open customer wind mass cable laying work,1,bhatkheda
dje01,section isolator open,4,wtg stopped customer pole repairing work,1,bhatkheda
dje01,send mail task failed.,1,reboot restored wtg,1,bhatkheda
dje01,slc: pitch actuator supervision module error state.,4,reboot & restored wtg,2,bhatkheda
dje01,slc: pitch actuator supervision module error state.,4,wtg reset restored,2,bhatkheda
dje01,slc: speed monitoring pitch stop.,1,checked & tighting connection pnoz relay setting,1,bhatkheda
dje01,slc: speed monitoring relay internal error.,4,attend & reset,1,bhatkheda
dje01,slc: speed monitoring relay internal error.,4,checked connection rotor encoder & speed monitoring relay,2,bhatkheda
dje01,slc: speed monitoring relay internal error.,4,replaced speed monitoring relay configuration setting done also replaced generator slip ring fan,1,bhatkheda
dje01,slc: speed supervision module error state.,3,checked related circuit & feedback connections,2,bhatkheda
dje01,slc: speed supervision module error state.,3,wtg restoration work progress,1,bhatkheda
dje01,slc: tower vibration switch tripped.,2,wtg reset restored,2,bhatkheda
dje01,special activity,15,replaced pt100 sensor,1,bhatkheda
dje01,special activity,15,wtg stopped blade lps resistance measurement work completed,2,bhatkheda
dje01,special activity,15,wtg stopped checking power curve & anemometer setting done,2,bhatkheda
dje01,special activity,15,wtg stopped checking temperature reading power cable cable joint,1,bhatkheda
dje01,special activity,15,wtg stopped fr paint checking apply power cable,1,bhatkheda
dje01,special activity,15,wtg stopped generator below(duct) cover fitting work also plc & covertor ngcc sotfware updated,1,bhatkheda
dje01,special activity,15,wtg stopped power cable inspection bottom top & cc100 panel termination tighting work done,1,bhatkheda
dje01,special activity,15,wtg stopped power curve deviation analysis purpose,3,bhatkheda
dje01,special activity,15,wtg stopped power transformer tap setting done,1,bhatkheda
dje01,special activity,15,wtg stopped uss power transformer tap changing work,1,bhatkheda
dje01,special activity,15,wtg stopped yaw drive torquing work done,1,bhatkheda
dje01,special activity - blade lps resistance measurement & inspection,9,attend,2,bhatkheda
dje01,special activity - blade lps resistance measurement & inspection,9,attended,1,bhatkheda
dje01,special activity - blade lps resistance measurement & inspection,9,wtg stopped blade cleaning work,1,bhatkheda
dje01,special activity - blade lps resistance measurement & inspection,9,wtg stopped blade cleaning work also blade lps resistance measurement work done,1,bhatkheda
dje01,special activity - blade lps resistance measurement & inspection,9,wtg stopped blade lps resistance measurement work,1,bhatkheda
dje01,special activity - blade lps resistance measurement & inspection,9,wtg stopped blade lps resistance measurement work done,2,bhatkheda
dje01,special activity - blade lps resistance measurement & inspection,9,wtg stopped blade repairing work,1,bhatkheda
dje01,special activity - repeated error rectification,1,"wtg stopped attending warning ""gearbox oil filter 75% clogged."" replaced gearbox on-line oil filter also activity audit pending point compliance work done",1,bhatkheda
dje01,special activity - software updation modification,13,attend,1,bhatkheda
dje01,special activity - software updation modification,13,new plc software version 2.4.1 & sineax software updated work done,1,bhatkheda
dje01,special activity - software updation modification,13,wtg stopped anemometer earthing ft sensor wiring tb modification,2,bhatkheda
dje01,special activity - software updation modification,13,wtg stopped cmm kit installation (emi filter) & modification drain top 40 ltr.,1,bhatkheda
dje01,special activity - software updation modification,13,wtg stopped parameter setting work,2,bhatkheda
dje01,special activity - software updation modification,13,wtg stopped plc software updation power booster,1,bhatkheda
dje01,special activity - software updation modification,13,wtg stopped power booster up-gradation work,1,bhatkheda
dje01,special activity - software updation modification,13,wtg stopped power booster up-gradation work also activity wtg & uss visual maintenance work done,1,bhatkheda
dje01,special activity - software updation modification,13,wtg stopped power booster work done,2,bhatkheda
dje01,special activity - software updation modification,13,wtg stopped software parameter checking work done,1,bhatkheda
dje01,special activity - uss yard inspection,8,2.30 mva transformer replacement work done,1,bhatkheda
dje01,special activity - uss yard inspection,8,wtg stopped oil leakage lv side transformer arrested also applied 3m tape apply power cable,1,bhatkheda
dje01,special activity - uss yard inspection,8,wtg stopped uss acb cabinet cooling fan fixing work,1,bhatkheda
dje01,special activity - uss yard inspection,8,wtg stopped uss acb cabinet inspection work & recrimping power cable lug & sleeve applied also recrimping lug convertor cabinet,1,bhatkheda
dje01,special activity - uss yard inspection,8,wtg stopped uss acb cable checked & replaced 03 nos. power cable lug uss acb panel,1,bhatkheda
dje01,special activity - uss yard inspection,8,wtg stopped uss inspection work,2,bhatkheda
dje01,special activity - uss yard inspection,8,wtg stopped uss yard inspection work,1,bhatkheda
dje01,special activity - wtg critical points checking,16,attend,1,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped audit pending point compliance also activity visual wtg pm work done,1,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped blade cleaning work done restored wtg,1,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped ccu unit radiator cover fixing work done restored wtg,1,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped convertor cabinet inspection work,1,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped gearbox bearing temperature sensor connection checking work,1,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped hub cabinet temperature high checked hub cooling fan,2,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped inspection work,3,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped nosecone hardware fixing work,1,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped t4 joint inspection work done restored wtg,1,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped uss transformer lv side y-phase bushing replacement work done,1,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped winch testing & climb assist checking work,1,bhatkheda
dje01,special activity - wtg critical points checking,16,wtg stopped winch testing work,1,bhatkheda
dje01,special activity - wtg parameters checking,6,wtg stopped anemometer parameter checking work,2,bhatkheda
dje01,special activity - wtg parameters checking,6,wtg stopped parameter checking work,3,bhatkheda
dje01,special activity - wtg parameters checking,6,wtg stopped software parameter checking work done,1,bhatkheda
dje01,speed measurement deviation delayed generator rotor speed.,5,attended restored,1,bhatkheda
dje01,speed measurement deviation delayed generator rotor speed.,5,auto reset,1,bhatkheda
dje01,speed measurement deviation delayed generator rotor speed.,5,replaced torque limiter,1,bhatkheda
dje01,speed measurement deviation delayed generator rotor speed.,5,reset restore wtg,1,bhatkheda
dje01,speed measurement deviation delayed generator rotor speed.,5,wtg restoration work progress,1,bhatkheda
dje01,speed measurement deviation generator rotor speed.,9,auto reset,4,bhatkheda
dje01,speed measurement deviation generator rotor speed.,9,wtg reset restored,4,bhatkheda
dje01,speed measurement deviation generator rotor speed.,9,wtg reset restored.,1,bhatkheda
dje01,speed measurement generator speed negative maximum.,2,auto reset,1,bhatkheda
dje01,speed measurement generator speed negative maximum.,2,wtg reset restored,1,bhatkheda
dje01,stator breaker failed closing demanded close.,9,auto reset,6,bhatkheda
dje01,stator breaker failed closing demanded close.,9,reboot & reset,2,bhatkheda
dje01,stator breaker failed closing demanded close.,9,replaced convertor cabinet stator breaker,1,bhatkheda
